[11657] [05-09-2012 16:30:17]:	Finished writing sequence region
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216462_CDS_DDB0189305:40789..42949
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0307672_exon_DDB0232428:42192..42474
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0307672_exon_DDB0232428:42567..42786
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0307672_exon_DDB0232428:42909..43179
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216465_CDS_DDB0189305:46228..46546
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216466_CDS_DDB0189305:47004..49269
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216468_CDS_DDB0189305:55490..55882
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216468_CDS_DDB0189305:53324..55389
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0216470_CDS_DDB0189305:58025..60197
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0191114_CDS_DDB0189305:2213795..2214123
[11657] [05-09-2012 16:31:04]:	going to write exon:   _DDB0191114_CDS_DDB0189305:2214209..2214790
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191167_CDS_DDB0189305:2212327..2212438
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191167_CDS_DDB0189305:2211465..2212209
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191133_CDS_DDB0189305:2131580..2131658
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191133_CDS_DDB0189305:2131773..2133901
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191133_CDS_DDB0189305:2134002..2134382
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191297_CDS_DDB0189305:2194070..2194745
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191297_CDS_DDB0189305:2194876..2198665
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4493100..4493383
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4492780..4493022
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4492403..4492694
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4491139..4492326
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4489233..4491054
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4489107..4489162
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191237_CDS_DDB0189305:4488557..4489028
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191500_CDS_DDB0189305:1245862..1246123
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191500_CDS_DDB0189305:1243684..1245763
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191264_CDS_DDB0189305:272291..272312
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191264_CDS_DDB0189305:271985..272192
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191264_CDS_DDB0189305:271473..271832
[11657] [05-09-2012 16:31:05]:	going to write exon:   _DDB0191264_CDS_DDB0189305:271177..271337
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0191077_CDS_DDB0189305:4911545..4911776
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0201672_CDS_DDB0189305:2399783..2399827
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0201672_CDS_DDB0189305:2400145..2400171
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0201672_CDS_DDB0189305:2400259..2402706
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0201675_CDS_DDB0189305:2420565..2421096
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0201676_CDS_DDB0189305:2421162..2422782
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0252729_CDS_DDB0232428:3613524..3614405
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0252729_CDS_DDB0232428:3614480..3615579
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0216711_CDS_DDB0189305:3637980..3639057
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0216712_CDS_DDB0189305:3640786..3640965
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0216712_CDS_DDB0189305:3639783..3640453
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0216714_CDS_DDB0189305:3690197..3690347
[11657] [05-09-2012 16:31:06]:	going to write exon:   _DDB0216714_CDS_DDB0189305:3689931..3690156
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0233476_CDS_DDB0232428:3758750..3758811
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0233476_CDS_DDB0232428:3758312..3758375
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0233476_CDS_DDB0232428:3757777..3757800
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0233476_CDS_DDB0232428:3757656..3757680
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0346782_exon_DDB0232428:3766206..3766797
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0348134_exon_DDB0232428:3771005..3771045
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0348134_exon_DDB0232428:3771234..3771407
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0216471_CDS_DDB0189305:60846..61854
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0216472_CDS_DDB0189305:62342..63005
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0307670_exon_DDB0232428:66188..66470
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0307670_exon_DDB0232428:66584..66803
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0307670_exon_DDB0232428:66921..67191
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0252684_CDS_DDB0232428:68991..70966
[11657] [05-09-2012 16:31:07]:	going to write exon:   _DDB0252684_CDS_DDB0232428:71110..71289
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216476_CDS_DDB0189305:72323..72450
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216476_CDS_DDB0189305:72508..72642
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216476_CDS_DDB0189305:72761..73028
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216477_CDS_DDB0189305:75326..77591
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216478_CDS_DDB0189305:78240..79248
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216479_CDS_DDB0189305:79850..80558
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0191235_CDS_DDB0189305:745878..746357
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0191235_CDS_DDB0189305:746452..750401
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0220133_CDS_DDB0189305:1253636..1254248
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0220133_CDS_DDB0189305:1254326..1256174
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0191119_CDS_DDB0189305:1256542..1259971
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216485_CDS_DDB0189305:95837..95841
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0216485_CDS_DDB0189305:94825..95097
[11657] [05-09-2012 16:31:08]:	going to write exon:   _DDB0220586_CDS_DDB0189305:57157..57595
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216486_CDS_DDB0189305:96293..96836
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216487_CDS_DDB0189305:97409..98286
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216487_CDS_DDB0189305:96903..97310
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216488_CDS_DDB0189305:100056..100273
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216488_CDS_DDB0189305:99343..99978
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216489_CDS_DDB0189305:101058..101244
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216490_CDS_DDB0189305:102953..103226
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0229792_CDS_DDB0189305:90358..90363
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0229792_CDS_DDB0189305:89557..90089
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0216492_CDS_DDB0189305:106464..107472
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0232009_CDS_DDB0189305:2861770..2861793
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0232009_CDS_DDB0189305:2861447..2861576
[11657] [05-09-2012 16:31:09]:	going to write exon:   _DDB0232009_CDS_DDB0189305:2859908..2861145
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0191502_CDS_DDB0232428:2866445..2866468
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0191502_CDS_DDB0232428:2864583..2865820
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0191514_CDS_DDB0189305:4627717..4627828
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0191514_CDS_DDB0189305:4627416..4627580
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0191514_CDS_DDB0189305:4627122..4627328
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0191514_CDS_DDB0189305:4625089..4627005
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216480_CDS_DDB0189305:81784..82817
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216480_CDS_DDB0189305:82949..84336
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216480_CDS_DDB0189305:84663..84689
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216482_CDS_DDB0189305:90768..91044
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216483_CDS_DDB0189305:91515..91537
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216483_CDS_DDB0189305:91598..92319
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216483_CDS_DDB0189305:92503..92591
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216484_CDS_DDB0189305:92918..92931
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216484_CDS_DDB0189305:92999..93638
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216484_CDS_DDB0189305:93737..94091
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216484_CDS_DDB0189305:94415..94490
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216484_CDS_DDB0189305:94566..94688
[11657] [05-09-2012 16:31:10]:	going to write exon:   _DDB0216484_CDS_DDB0189305:94771..94780
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304387_CDS_DDB0232428:3524739..3524869
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304387_CDS_DDB0232428:3524234..3524587
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304387_CDS_DDB0232428:3523799..3524091
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304387_CDS_DDB0232428:3523264..3523677
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0232932_CDS_DDB0232428:3525817..3526005
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0232932_CDS_DDB0232428:3526166..3526452
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0232932_CDS_DDB0232428:3526566..3526661
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0232932_CDS_DDB0232428:3526790..3526839
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0306588_exon_DDB0232428:3484287..3484644
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0306588_exon_DDB0232428:3484828..3485533
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0305892_CDS_DDB0232428:3491084..3491399
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0305892_CDS_DDB0232428:3489973..3490948
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0305892_CDS_DDB0232428:3489329..3489827
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0308378_exon_DDB0232428:3496968..3500265
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304492_CDS_DDB0232428:3527141..3527262
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304492_CDS_DDB0232428:3527412..3527918
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0304492_CDS_DDB0232428:3528095..3528263
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0307432_exon_DDB0232428:3529581..3529764
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0307432_exon_DDB0232428:3529227..3529419
[11657] [05-09-2012 16:31:11]:	going to write exon:   _DDB0307432_exon_DDB0232428:3528358..3529141
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0216421_CDS_DDB0189305:3542593..3542693
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0216421_CDS_DDB0189305:3542770..3543094
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0216421_CDS_DDB0189305:3543252..3543646
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0216421_CDS_DDB0189305:3543830..3544095
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0307433_exon_DDB0232428:3549386..3549507
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0307433_exon_DDB0232428:3549630..3549794
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0307433_exon_DDB0232428:3549936..3550857
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0307433_exon_DDB0232428:3550943..3551105
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0307433_exon_DDB0232428:3551227..3552706
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0307433_exon_DDB0232428:3552803..3553055
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0306590_exon_DDB0232428:3553342..3554182
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0238663_CDS_DDB0232428:3510768..3511836
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0229860_CDS_DDB0189305:3511121..3512585
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0229864_CDS_DDB0189305:3516286..3516338
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0229864_CDS_DDB0189305:3516492..3518144
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0220692_CDS_DDB0189305:1172893..1173240
[11657] [05-09-2012 16:31:12]:	going to write exon:   _DDB0220692_CDS_DDB0189305:1173340..1175183
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0237854_CDS_DDB0232428:1190628..1190807
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0237854_CDS_DDB0232428:1187971..1190528
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0229382_CDS_DDB0189305:1185323..1185578
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0229382_CDS_DDB0189305:1185660..1185842
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0229382_CDS_DDB0189305:1185949..1186023
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0229382_CDS_DDB0189305:1186197..1192430
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0266683_CDS_DDB0232428:1219078..1219191
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0266683_CDS_DDB0232428:1218199..1218938
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0266683_CDS_DDB0232428:1217962..1218097
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0216375_CDS_DDB0189305:1214374..1214650
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0216375_CDS_DDB0189305:1214952..1215636
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0216375_CDS_DDB0189305:1215739..1218097
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0267172_CDS_DDB0232428:1230524..1231512
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0267172_CDS_DDB0232428:1230143..1230433
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0233797_CDS_DDB0232428:1232233..1232387
[11657] [05-09-2012 16:31:13]:	going to write exon:   _DDB0233797_CDS_DDB0232428:1232477..1235989
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0233064_CDS_DDB0232428:1237536..1237782
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0233064_CDS_DDB0232428:1236114..1237428
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0346752_exon_DDB0232428:1238362..1240237
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0349014_exon_DDB0232428:1680931..1682389
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0216596_CDS_DDB0189305:1682025..1682724
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0216597_CDS_DDB0189305:1683919..1683923
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0216597_CDS_DDB0189305:1684036..1684434
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0233913_CDS_DDB0232428:1701532..1701623
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0233913_CDS_DDB0232428:1701297..1701417
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0233913_CDS_DDB0232428:1700921..1701202
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0349049_exon_DDB0232428:1713714..1713727
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0349049_exon_DDB0232428:1713796..1713999
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0231521_CDS_DDB0189305:1192600..1192978
[11657] [05-09-2012 16:31:14]:	going to write exon:   _DDB0231100_CDS_DDB0189305:1196234..1196384
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0231100_CDS_DDB0189305:1196527..1199407
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0346751_exon_DDB0232428:1207157..1207161
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0346751_exon_DDB0232428:1207263..1207574
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0346751_exon_DDB0232428:1207668..1209051
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0189696_CDS_DDB0189305:1235219..1235235
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0189696_CDS_DDB0189305:1233879..1234862
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216588_CDS_DDB0189305:1608049..1608922
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0349232_exon_DDB0232428:1667359..1667807
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0349232_exon_DDB0232428:1666539..1667255
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0349539_exon_DDB0232428:1668763..1671736
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216600_CDS_DDB0189305:1740355..1740368
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216600_CDS_DDB0189305:1740449..1740628
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216603_CDS_DDB0189305:1768891..1769105
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216603_CDS_DDB0189305:1769347..1772820
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216603_CDS_DDB0189305:1773659..1774365
[11657] [05-09-2012 16:31:15]:	going to write exon:   _DDB0216603_CDS_DDB0189305:1774607..1775197
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0216604_CDS_DDB0189305:1775741..1775745
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0216604_CDS_DDB0189305:1775858..1776434
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0216604_CDS_DDB0189305:1776600..1777517
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0191524_CDS_DDB0189305:3350351..3354266
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0191524_CDS_DDB0189305:3350097..3350235
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0191203_CDS_DDB0189305:2907047..2907217
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0191203_CDS_DDB0189305:2906790..2906878
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0191203_CDS_DDB0189305:2906331..2906679
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0215399_CDS_DDB0189305:3002791..3002793
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0215399_CDS_DDB0189305:3002872..3003452
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0252571_CDS_DDB0232428:1674505..1674578
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0252571_CDS_DDB0232428:1674282..1674347
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0252571_CDS_DDB0232428:1672556..1674173
[11657] [05-09-2012 16:31:16]:	going to write exon:   _DDB0304671_CDS_DDB0232428:1676401..1676459
